textID,text,selected_text,sentiment
45e3b1b07e,The gigantic initial inertial to get oneself to work after a deadline,The gigantic initial inertial to get oneself to work after a deadline,0
16a6c22866,20 mins from BEJ to Semanggi. Traffic on Friday  *siggghh*,20 mins from BEJ to Semanggi. Traffic on Friday  *siggghh*,0
efaaf8f9dc," Ha - check the high scores today, currently I have the No1 slot at 306,000","Ha - check the high scores today, currently I have the No1 slot at 306,000",0
93bd3f9324, ohhhhh with ya,ohhhhh with ya,0
822f5140fb, Neither could i! And i looked on ebay and it was like 250 euro for two!!!! but i doubt my parents would fork that amount out,doubt,-1
a03f2cc70a,I am usually more creative on Mother`s Day but lately I have not been feeling creative. O.K.. Good Night.  uh Morning...,I am usually more creative on Mother`s Day but lately I have not been feeling creative. O.K.. Good Night.  uh Morning...,0
b4ab82ff8e,"sociology is done, english and biology left... i`m going to DIE",DIE,-1
94c7267c0e, Etsy handmade cards weren`t any good?,Etsy handmade cards weren`t any good?,0
70f35f406a, Ta very much!  Happy B-Day to G-son,Ta very much!  Happy B-Day to G-son,1
babb367967," well, I was under the impression most people have the urge to buy new sofas  To be fair, we`re not tiling, we have a man for that","well, I was under the impression most people have the urge to buy new sofas  To be fair, we`re not tiling, we have a man for th",0
35d06c1169,Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for ,Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for,0
f2ef38d74a,"time to relieve stress at the gym!! Someone should write speeches, take exams and do research for me","time to relieve stress at the gym!! Someone should write speeches, take exams and do research for me",0
ed5d8644c2,is at Klaudine`s. Again...,is at Klaudine`s. Again...,0
d6b5231c59,"Home. Tired. Phone then bed.   Good night tweeters, happy mothers day!","Home. Tired. Phone then bed.   Good night tweeters, happy mothers day!",0
de80d2b698,had a fun day at the theatre... glad to be back in town for a while,had a fun day,1
6d4b6c72c1," Thanks hun, it was great",it was great,1
dda1d7a9e3,in class sick and hungry,sick,-1
6ec8eb9348, Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!,Ohhhh! Ok!,1
dcca11255e,i just saw a pony that used to live in front of my house again. he`s developed cushing`s disease tho,disease,-1
f50755906e, eat (cup)cake,eat (cup)cake,0
3b3d48063c," it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6","but not as much,",-1
886efc32dc,"I can`t wait till it`s Sunday, a new episode of Supernatural but then there are only 6 episodes left now","I can`t wait till it`s Sunday, a new episode of Supernatural but then there are only 6 episodes left now",0
05ed6c49d8, sorry to hear about your dog,sorry,-1
cc425f4dcd,"Brother #3 is wandering around the house in his underwear. As charming for his 2 sisters as it is for the other female guests, I`m sure","As charming for his 2 sisters as it is for the other female guests, I`m sure",1
146d31acf9,And I`m listening to 'Wrong' by Depeche Mode.,And I`m listening to 'Wrong' by Depeche Mode.,0
0ef3b64fbd, I am afraid you`ve had a bit of a #fail as the last two recommendations aren`t available in the UK,afraid,-1
93d4008ef1, testing.... Hey! I gotta add you as someone to follow,testing.... Hey! I gotta add you as someone to follow,0
09ae54c787, drive safe Linz... Give us some pit stop updates on where you are,drive safe Linz... Give us some pit stop updates on where you are,0
e38943d3e1," No, I`m working on it all day Monday. Will try to remember to email but if you`re smart you`ll remind me.",smart,1
c79a5c9b96,"  Get Up, You are NOT old!  What did you do?! =O","Get Up, You are NOT old!  What did you do?! =O",0
ea179bc7a9,"i`m doin my tweets on my phone so i have on clue how to reply to anyone. but thank u fiercemichi, as soon as i can i`ll check it out.",thank u,1
866e5d8443,Two words: hot pockets. Most delcious food ever created,delcious,1
e47b0e317c, damnit i didn`t  but neither did you so win!,damnit i didn`t  but neither did you so win!,0
e1909ed49f,Dï¿½jï¿½ vu!!! Changing out of my GQ outfit,Dï¿½jï¿½ vu!!! Changing out of my GQ outfit,0
b0df70cda0,deck building buddy missing in action,deck building buddy missing in action,0
6ebce5c001,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her","Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",0
e136c0f2af, whens the sway sway winner announced?,whens the sway sway winner announced?,0
9d47870bab,"Got pulled over by a cop, got a warning",warning,-1
66cf10a629, Excellent!  You got a name for him yet? Don`t forget to twitpic him.,Excellent!,1
b0156e8928, I feel like I haven`t talked to you in a really really long time.,I feel like I haven`t talked to you in a really really long time.,-1
65d1a890e3, haha yay We love you too Mr. Shane Dawson,love,1
f712e2add0,is so sick of myself + my life  i`m never going to be as good i want + need to be. xoxoxo </3,sick,-1
0904ee1fa7,im the only ho that didnt go to tigerheat tonite,im the only ho that didnt go to tigerheat tonite,0
fcf6cdc97d,'The weather outside is weather' hahah made me feel better,better,1
12d86a991c,Missing the shotgun match because I was guilted into going to the store with the wife.,Missing,-1
81b4b53de4,and this stupid wireless wont work downstairs,stupid wireless wont work,-1
1f3dac52ea, Hi  Yes wasn`t she absolutely terrible! How on earth does she hear a good tune from her ears? Lol,e absolutely terrible!,-1
7e778b1d4b,Viviann`s all minee. Yummm,Yummm,1
a0bb7baf1e, I SLEPT THROUGH MY ALARMS  woke up at 6 instead of 4  i feel like a complete tool,4  i feel like a complete too,1
699bb2c9c9,"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go","so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go",-1
27953f5a47,I`m glad I don`t have class on Fridays. I need the break! Algebra test on Wednesday,I`m glad I don`t have class on Fridays. I need the break! Algebra test on Wednesday,0
5dea556893,Winding Down for the night. Rode the duc home from a B.B.Q. at my pops house. Time to pass out as soon as the adrenaline wears off!!!,Winding Down for the night. Rode the duc home from a B.B.Q. at my pops house. Time to pass out as soon as the adrenaline wears off!!!,0
9a46755aad, lol thanks.  I do like to be on top. I`m going to enjoy this. How long can I be up there?,o enjoy,1
360b82ca82,i wish my blog was working properly - i have a great #followfriday blog post i wanted to showcase!,great,1
40143b692e, who knows  It makes me sad  lol,e sad,-1
4441b5b0dc,"Morning tweeple,way to early again","Morning tweeple,way to early again",0
3592d43e3d,Moving makes me sore.  Dunno if we are gonna make it!   Its getting close!,Moving makes me sore.,-1
87eed4dc97, its it done?,its it done?,0
4636ad66d9,"can`t wait to get his hands on his new blackberry, this one is dying on me",dying on me,-1
a52b93e88e," not to sound preachery or anything, but my iphone is amazing.  haven`t had an issue since the 2.0 firmware   {wink wink}",amazing.,1
5db6024b06, ikr!!!,ikr!!!,0
5370fe7ef6,is very upset to see carys and donna go today    miss you both hugely already!!! (Yes ok its only been like 3 hours) haaa..waaaah,upset,-1
76596343b6,Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...,Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...,0
257010ac59,Work around the house  boo,boo,-1
3c320aae1a,Well it`s after 6 and i didn`t get a call back  oh well,Well it`s after 6 and i didn`t get a call back  oh well,0
f2622f9c98,"Nooo, I`m not in love.  I`m just developing a crush. A small one. Heehee.  My second one. Shadduppp.","Nooo, I`m not in love.  I`m just developing a crush. A small one. Heehee.  My second one. Shadduppp.",0
235d69cca7,_princess69 hehehe! Barry Killer! U need a pic,hehehe! Barry Killer! U need a pic,0
55bb13c591,Omg. I got no sleep again. Neighbors are building a deck & they`ve been starting @ 5:00am. I`m SO tired. Feel like I just took Benadryl,tired.,-1
efde16371f,"_The_Moon Do you mean  (Jim Bob, obviously) or  (Fruitbat)? I think Jim Bob played Brixton at the weekend. Cldnt go","_The_Moon Do you mean  (Jim Bob, obviously) or  (Fruitbat)? I think Jim Bob played Brixton at the weekend. Cldnt go",0
484747a2ea,Wanna go out,Wanna go out,0
171028e14a,  you have every right to feel like a crazy fanboy! jason mraz and james morrison? the jealousy is tangible,you have every right to feel like a crazy fanboy! jason mraz and james morrison? the jealousy is tangible,0
4e0e71535d,Omfg this test is a joke.,Omfg this test is a joke.,0
3a8a7232eb,bed. with stomach ache,bed. with stomach ache,-1
7941093526,Why does my boss have to come in today.....,Why does my boss have to come in today.....,-1
095aa261cb,"Uggh everything, I`m sending you!!! I keep sending it to my Twitter. So I have to forward it to you!!! I suck at life",I suck at life,-1
152ad92b46,JUST GOT TO LA  MISS HAWAII ALREADY! DANG,DANG,-1
de93577e03," i knew that, jus givin u a hard time hehe",u a hard time hehe,0
10efd5ed88,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.,0
58e7c5dbad,has a sore throat,has a sore throat,-1
3bd10905ed,"Ugh, i hate waiting in airports. I couldn`t find a seat near an outlet either.",i hate,-1
879c1d41a5," LOL!  Considering the recent debate on DL, I`m not touching the bad boy thing.  I like the logical ones.","LOL!  Considering the recent debate on DL, I`m not touching the bad boy thing.  I like the logical ones",0
8d9f0090b0, I think that may look a little silly -.- Also my camera is broken so no photo,silly,-1
d7ca81be0a,"the muscle in my back is cramping up, hurts so bad! owww",hurts so bad!,-1
8b1d88c1e2, now cash u kno I`m not a hater.....jus upset I don`t have my update yet,upset,-1
be98808eae, I`m dead bored. but also dead poor! Student life is a piss take!,bored.,-1
c8c4df8736," Dude, you could totally get that then sell it to some Denton musician and profit","Dude, you could totally get that then sell it to some Denton musician and profit",0
4145184473," thanks for that twitpic, sure made me laugh",thanks,1
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,1
d15dc3e2b8,"My debit card is going the same way as my credit card, it`s snapping","My debit card is going the same way as my credit card, it`s snapping",0
2dbcb1fb0c, you are welcome  `s book is a good reminder as to WHY we escaped the cube!,a good,1
6bb61f0267," Good Morning, good wakeup music",good wakeup music,1
6bf922332c,JONAS rocked tonight!  going to bed after I write a lil bit... Night and bless all,rocked,1
99cc23aca9,It`s after midnight & I hear the shower calling me- Technically it`s not twice in one day since it`s morning-- I`m not very 'green'.,It`s after midnight & I hear the shower calling me- Technically it`s not twice in one day since it`s morning-- I`m not very 'green'.,0
365c03b0e8,"41 Followers? Random people, but okay!","41 Followers? Random people, but okay!",0
a1f5198314,Caught in a herd of somalions,Caught in a herd of somalions,0
3991102438,WHOA! Twilight the board game! AAAHAHA,WHOA! Twilight the board game! AAAHAHA,1
d38f977f51," haha what can i say, you`re a great teacher!! you learned from the best... Hannah Montana",you`re a great teacher!,1
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,0
3d5d523e70,so much for an amazing day...some pervert just ruined it,some pervert just ruined it,-1
cbbb741406,"Wishing I could go with  to SoCo to go climb, instead I`m stuck at work all weekend",stuck,-1
62ac825994, I`m sorry about your bad driving experiences.,bad,-1
5cf2a5388c, that`s a brilliant idea! only one buzz though,brilliant,1
9cc4f6f71f, thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here,heart broken here,-1
b37793c5af,ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out,ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out,0
f79806e09d,Happy Star Wars day,Happy,1
3c35eae9d4,_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,0
bf66b4acaa,"_Kookie girl,rain is my song forrealll!!!","_Kookie girl,rain is my song forrealll!!!",0
bee59bb7d2,GOODNiGHT...HAPPY MOTHERS DAY TO ALL THE MAMi`S ON TWiTTER,GOODNiGHT...HAPPY MOTHERS DAY TO ALL THE MAMi`S ON TWiTTER,1
00e8a1fe4e,_Kartz I`ve been studying for a year now  And 5 years in school...,I`ve been studying for a year now  And 5 years in school...,0
1d6b7a7f57,"No Evidence, No Conviction ! Absolutely hilarious.. Makes my day every time  http://bit.ly/lrolJ",hilarious..,1
2489e8afd3, I might give it another go.,I might give it another go.,1
d921c7e00e," Heh, aye. I should have investigated properly first before asking  Does seem like it`s not the most obvious thing though.",e it`s not the most obvious thing though,-1
6af967f653,  My Dad worked for SW when I graduated HS. Worked at HOU 21 years.   He retired 3 years before I joined the Company.,My Dad worked for SW when I graduated HS. Worked at HOU 21 years.   He retired 3 years before I joined the Compan,0
cbf297925a," ermm, more like a full black upper half.  and some a completley grey","ermm, more like a full black upper half.  and some a completley grey",0
5680a0b488, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,I`m broke,-1
ae09e9a0a2,morning  football today! thinking of learning some Applescript,morning  football today! thinking of learning some Applescript,0
ccb5130fed,Just took a shower.We`re gonna go to Church.Time to thank Him for my mother.,thank,1
ac2fe45147, cheer up buttercup! Rain will go away and hearts always mend. I can actually bet $ on that!,cheer,1
e20b1cc3f7,Chillin on here,Chillin on here,1
9c2e8d8f54,"Just wrote another song, but i ran out of ideas so this one is a bit ****",this one is a bit ****,-1
5d51c435a9,Sweet booth at Newport... But all the people are outside  http://post.ly/hEb,Sweet booth at Newport... But all the people are outside  http://post.ly/hEb,0
1010d4841d, shopping is therapuetic and i`m all about bettering myself... i need financing for my therapy however,bettering,1
2934592434,At ihop with the besties..minus one  where`s the dr.???? At work of course,At ihop with the besties..minus one  where`s the dr.???? At work of course,0
031469f48f, what happened?,what happened?,0
0057e9145b, why you stop following me? Was I not cool enough for you?,? Was I not cool,-1
698a91c45d, thanks!! Yes!! A lot!,thanks!! Yes!! A lot!,1
365b527a28,currently working on the SDP`s Prototype.... so much to do...,currently working on the SDP`s Prototype.... so much to do...,0
aa23ddd2e3,i wanna see UPPPPPP,i wanna see UPPPPPP,0
400b9a2739, Haha I should. But I won`t. lol Then I might miss something.,Haha I should. But I won`t. lol Then I might miss something.,1
fac362e16d, so cool! if only i could call! my phone won`t let me calll the number!,cool!,1
5cf8834e89, Lol... She is fine the way she is  How has your weekend been?,fine,1
fe077efe30," Thank you Jonathan! I am the proud mommy to a 6 yr old girl, and a 14 yr old boy!",Thank,1
13552e6537,going to jack`s tribute match today,going to jack`s tribute match today,0
79c0162c77, useless tweet! LOL jk yay!!! You`re coming tmr! How long u gnna be in phils for  ?,useless,-1
85e3c700a5,Last Tonight Show with Jay Leno Tonight!,Last Tonight Show with Jay Leno Tonight!,0
2d710a2cca,"It seems my grandmother has found a way to break a pipe in her house, going to go there now and fix it, she is such a blur woman",break,-1
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",glad,1
9d9d77c46d,Looking for the  in Coal Harbour. Can`t find it!,Can`t find it!,-1
fcd9835a33," And now she also rides giant squids...who knew! Ama hafta go now  i`ll try and get on later, love to you ****",", love to you",1
d98f5b5861,@_writersblock_ I`m sure you are.    Toasties wasn`t far behind.,I`m sure you are.    Toasties wasn`t far behin,0
c17fc0478b, I like that...gonna have to re-tell,I like that.,1
20c2ecb64f,"Had a nice visit last night from a boy with voracious stubble, does anyone know what to do about a raw chin? haha",Had a nice visit,1
866c94268f,best show of my life. mcfly rocks my world  i wanna meet you guys ;;,best show,1
1eabd00935," LOL! based on my last post then, I`ll plan on using you as a reference","LOL! based on my last post then, I`ll plan on using you as a reference",0
6268a5fa23,Enjoying Mother`s Day,Enjoying,1
b4245b26c0," I guess, technically, I was still pregnant just a few months ago. Just with Alex instead of Elizabeth","I guess, technically, I was still pregnant just a few months ago. Just with Alex instead of Elizabeth",0
3ce7dd5ba0, man i missed it!! Ive been waitn all day 4 u 2 giv the tix away & then whn im rappn up @ wrk u gav my tix away! Im sad!,man i missed it!!,-1
6b3295ea7c,i was helping my dad re decorate my bedroom. time 4 a shower!,i was helping my dad re decorate my bedroom. time 4 a shower!,0
89b7714860,Watching Ryann!!  Gonna be a grand day!!!,grand,1
e1120cc659, Yeah I replied!! I meant to take a photo of my drink but I was laaazy and didnt`  x,Yeah I replied!! I meant to take a photo of my drink but I was laaazy and didnt`,0
e3344857c9,Is working allll weeekend,Is working allll weeekend,0
6627c3ad66, Where are u  miss you I hope you are doing well *sending big hugs*,Where are u  miss you I hope you are doing well *sending big hugs,1
271f1fcb79,76 long and painful miles today.  knees ache.  approaching 50 years is rough. not accepting it well.  3 glasses of draft helped.,painful,-1
c8fe93abf7, hey  how are you?  x,hey  how are you?,0
8211642cea, Good luck on final!,Good luck,1
fbc82b5f59, probably...why not!,probably...why not!,0
a6ca21f8bc,Sooo much work so little time,Sooo much work so little time,-1
a3ec1f9639, What was the compiment? I`m glad you`re having a good time.,glad,1
a1e6b3b6db,- im hungry...but there`s no food at mah house.,there`s no food,-1
a982f09778,Whaaaat a strong rain just came over us here in Santa Clara. I wish I could sleep but I got to attend to an important meeting,I wish I could sleep but I got to attend to an important meeting,-1
8133673ed9," Hey, that link didn`t work for me","Hey, that link didn`t work for me",-1
c4db64f19d,i dont get it,i dont get it,0
9f371406d6,I need to relocate to the west coast.. This weather here is killin me!!!,I need to relocate to the west coast.. This weather here is killin me!!,-1
19fab017a2, Happy mother`s day to ur mom!!! i hope she has a wonderful day!!!!!,wonderful,1
4364ea8d55,ahh my poor feeeeeet,ahh my poor feeeeeet,-1
c016641e49,Going home,Going home,0
f87ca95b1d, Joe just put a new bulb in my spotlight,Joe just put a new bulb in my spotlight,0
a71b1569d0,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY`S Chocolate Syrup!",delicious,1
ef3bfb77a5, mothers day gift,mothers day gift,0
bbcc8b1827,  Happy Monday!!  Hope you have a great week!,Happy Monday!!  Hope you have a great week!,1
8a3f7a714d,the coffee is in the making!,the coffee is in the making!,0
9a00a72930,It`s Midnight - I`m outta here.  HAPPY MOTHER`S DAY FELLOW MOMMIES!!!  (And to non-Mommies too).  May EVERYONE have a special day!!!,HAPPY MOTHER`S DAY FELLOW MOMMIES!!!,1
14ec30ea31,  missing jmichelle... told you treat me like a step child! smh,missing,-1
900c5f5082,I swear its so hot I dont want to leave my house  Is it hot where your at?,I swear its so hot I dont want to leave my house,-1
5310603095,"_illustrated Me Too! Its hard to argue w/ him `cause he makes some great points, i just can`t wrap my heart around that one","_illustrated Me Too! Its hard to argue w/ him `cause he makes some great points, i just can`t wrap my heart around that one",0
85a7f783e2,believes that creativity  in cooking is only limited to your imagination... guess that applies for most things too... like photography,believes,1
32b2610c63,Don`t let the sun catch you crying - Oh my.. so cool  http://tinyurl.com/cugy8c,cool,1
17dd98db9a,Listening to Obama with one ear & listening to music with the other,Listening to Obama with one ear & listening to music with the other,0
0ddd346323,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,lucky,1
26b3a9cf93,"sooooooo NOT happy, wattching disney channel....rubbish rubbish rubbishhhhhh, didnt get my jonas 3d poster  the dude wasnt there but im..","NOT happy,",-1
bf10294a83, u just got me real excited cause i thought teniece was on twitter...,u just got me real excited cause i thought teniece was on twitter...,0
717289ffac,@ Pretty_Mess you missed all the free shots,@ Pretty_Mess you missed all the free shots,0
b2e551b292,Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen,Omg.,1
8defc498d5,missin my bro..,missin,-1
02f3aa5c77, Yes I do,Yes I do,0
53e2062566,"on my brothers phone, using the internet","on my brothers phone, using the internet",0
b192e1c733, awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe,awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe,0
0e01333fa6,Ouch...waited to long to get eyebrows waxed,Ouch...waited to long,-1
c694267ebf,Changing my online nickname to mtaby (which will hopefully be my uniqname as well)...hope the change goes by well (domain is available  ),Changing my online nickname to mtaby (which will hopefully be my uniqname as well)...hope the change goes by well (domain is available  ),0
79a3e68d74, what don`t be sad?  Be glad. Your 21,what don`t be sad?  Be glad. Your 21,0
1f05a6ab64,Man my daddy left to work again  I never see him a lot I miss my daddy :` (,Man my daddy left to work again  I never see him a lot I miss my daddy,-1
8b8862c52e," I need horror to be lovecraftian actually, not enough weird horror movies.",not enough weird horror movies.,-1
ea7e11b6ae,_angel I cant i dont have mms  but i will waer it nexxt time i see you,_angel I cant i dont have mms  but i will waer it nexxt time i see you,0
2586b40b4d,: no i`m not going.,: no i`m not going.,0
58495407dc," awww poor jayk. :[ try to make the drive fun.and eat something soon!have a great show tonight i wish i could go,i live too far","awww poor jayk. :[ try to make the drive fun.and eat something soon!have a great show tonight i wish i could go,i live too far",0
ff196f91e9,I love that my boyfriends loves my mac n cheese. he even took some to work with him,love,1
2dbf537a03, I saw the note in FAQ about other languages.  any thing that would change your mind? need any help or anything else?,I saw the note in FAQ about other languages.  any thing that would change your mind? need any help or anything else?,0
669d9f0673, I`m afraid not much  I just realized the true difficulty of this design. I may cry soon. #idmfinal,I`m afraid not much  I just realized the true difficulty of this design. I may cry soon,-1
ac63f0d8fe,is starving & has a chem quiz due at noon,starving,-1
a5bedf65e8,good morninï¿½everybody  happy mothers-day to every mom,good,1
92ca79a285,the apartment is starting to feel like mine.,the apartment is starting to feel like mine.,0
6db360ca0f,Fish and chips for din dins,Fish and chips for din dins,0
98cb6e168f,Last night went really well. Got some cracking shots,well.,1
